epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3425,1.35497,2.88445,1.17556,0.87279,0.93482,0.93085,0.70763,0.93456,1.03721,0.9408,0.000171437,0.000171437,0.000171437
2,77.5249,0.73153,0.62602,0.8825,0.98502,0.99001,0.99052,0.8363,0.64197,0.42059,0.87144,0.000343337,0.000343337,0.000343337
3,112.713,0.6522,0.48173,0.86064,0.97856,0.9797,0.99146,0.82675,0.65127,0.46626,0.88044,0.000511766,0.000511766,0.000511766
4,147.709,0.63072,0.42583,0.85775,0.991,0.99277,0.98935,0.82852,0.66504,0.35624,0.88203,0.000510378,0.000510378,0.000510378
5,182.747,0.58936,0.39371,0.84903,0.98962,0.9934,0.99255,0.84766,0.62445,0.3404,0.86324,0.00050517,0.00050517,0.00050517
6,217.94,0.57976,0.37377,0.84537,0.99041,0.98864,0.99171,0.86179,0.57281,0.30341,0.84326,0.000499963,0.000499963,0.000499963
7,253.008,0.57137,0.35375,0.84414,0.99395,0.9913,0.9929,0.88911,0.495,0.27702,0.82304,0.000494756,0.000494756,0.000494756
8,288.057,0.55333,0.34177,0.83839,0.98942,0.99529,0.99268,0.88407,0.52206,0.27924,0.8302,0.000489548,0.000489548,0.000489548
9,323.053,0.53871,0.33032,0.83459,0.99432,0.99508,0.99306,0.89222,0.48366,0.26339,0.81926,0.000484341,0.000484341,0.000484341
10,358.091,0.53102,0.32649,0.83458,0.99375,0.99406,0.99225,0.87208,0.55459,0.27532,0.83685,0.000479133,0.000479133,0.000479133
11,393.182,0.532,0.32501,0.8318,0.99088,0.99501,0.99227,0.8867,0.52021,0.26461,0.82545,0.000473926,0.000473926,0.000473926
12,428.292,0.52338,0.31116,0.82976,0.99607,0.99797,0.9942,0.90053,0.4664,0.24519,0.81567,0.000468719,0.000468719,0.000468719
13,463.419,0.51177,0.30743,0.82903,0.99246,0.99456,0.99243,0.89853,0.47587,0.25122,0.81637,0.000463511,0.000463511,0.000463511
14,498.428,0.51202,0.3058,0.82695,0.9891,0.9951,0.99181,0.89366,0.49175,0.25138,0.81891,0.000458304,0.000458304,0.000458304
15,533.458,0.5025,0.30199,0.82534,0.99438,0.99613,0.99404,0.90082,0.47517,0.24558,0.81568,0.000453096,0.000453096,0.000453096
16,568.561,0.50651,0.30281,0.8247,0.99455,0.99561,0.99362,0.90768,0.46036,0.23563,0.81332,0.000447889,0.000447889,0.000447889
17,603.588,0.50206,0.29914,0.82523,0.99272,0.99438,0.99265,0.89945,0.48292,0.2426,0.81876,0.000442682,0.000442682,0.000442682
18,638.627,0.49966,0.29779,0.8256,0.99361,0.99671,0.99375,0.90665,0.45782,0.23511,0.81315,0.000437474,0.000437474,0.000437474
19,673.629,0.49074,0.29142,0.82226,0.99587,0.99465,0.99336,0.90698,0.45141,0.23036,0.81024,0.000432267,0.000432267,0.000432267
20,708.685,0.48708,0.291,0.82138,0.99271,0.997,0.99386,0.90656,0.45605,0.235,0.81181,0.000427059,0.000427059,0.000427059
21,743.661,0.49001,0.2821,0.82125,0.99473,0.99545,0.99302,0.91227,0.44902,0.22503,0.8097,0.000421852,0.000421852,0.000421852
22,778.688,0.48316,0.28374,0.82009,0.99363,0.9943,0.99352,0.90657,0.45702,0.23163,0.81085,0.000416645,0.000416645,0.000416645
23,813.674,0.48378,0.28581,0.82207,0.99372,0.9951,0.99379,0.91264,0.44511,0.22752,0.80839,0.000411437,0.000411437,0.000411437
24,848.788,0.47753,0.28173,0.81936,0.99495,0.99549,0.99362,0.91321,0.43693,0.21476,0.80745,0.00040623,0.00040623,0.00040623
25,883.858,0.47565,0.27916,0.81788,0.99715,0.99725,0.99421,0.91052,0.45005,0.22597,0.80894,0.000401022,0.000401022,0.000401022
26,918.907,0.47243,0.27552,0.81698,0.99467,0.99529,0.99354,0.90867,0.45757,0.2214,0.81089,0.000395815,0.000395815,0.000395815
27,953.947,0.47253,0.27269,0.81842,0.99452,0.99626,0.99333,0.91444,0.43509,0.21802,0.80597,0.000390608,0.000390608,0.000390608
28,989.039,0.46584,0.27027,0.81465,0.99251,0.9949,0.99295,0.91187,0.44257,0.21703,0.80761,0.0003854,0.0003854,0.0003854
29,1024.12,0.46555,0.269,0.81564,0.99493,0.99647,0.9934,0.91203,0.43742,0.21823,0.8066,0.000380193,0.000380193,0.000380193
30,1059.2,0.46329,0.26548,0.8155,0.99462,0.99588,0.99358,0.91592,0.43215,0.21729,0.80519,0.000374985,0.000374985,0.000374985
31,1094.28,0.46296,0.26202,0.81423,0.9956,0.99702,0.99307,0.91294,0.4346,0.21362,0.80619,0.000369778,0.000369778,0.000369778
32,1129.32,0.45629,0.25973,0.81446,0.9956,0.9968,0.99422,0.91524,0.43228,0.20997,0.80563,0.000364571,0.000364571,0.000364571
33,1164.37,0.46112,0.26112,0.81358,0.99378,0.99453,0.99283,0.91362,0.44005,0.21252,0.80712,0.000359363,0.000359363,0.000359363
34,1199.42,0.45302,0.25981,0.81145,0.99382,0.99614,0.99308,0.91874,0.42604,0.20784,0.80353,0.000354156,0.000354156,0.000354156
35,1234.57,0.45448,0.26063,0.81454,0.99528,0.99686,0.99388,0.91628,0.42862,0.21134,0.8038,0.000348948,0.000348948,0.000348948
36,1269.57,0.45686,0.2596,0.8131,0.99484,0.9956,0.99325,0.92171,0.42416,0.20841,0.80368,0.000343741,0.000343741,0.000343741
37,1304.63,0.45388,0.25841,0.81419,0.99443,0.99745,0.99324,0.91641,0.43349,0.21061,0.80511,0.000338534,0.000338534,0.000338534
38,1339.69,0.45301,0.25593,0.81192,0.99507,0.99362,0.99363,0.91541,0.42934,0.2111,0.80423,0.000333326,0.000333326,0.000333326
39,1374.72,0.4498,0.25423,0.8126,0.99481,0.99707,0.99364,0.91644,0.43301,0.21065,0.8059,0.000328119,0.000328119,0.000328119
40,1409.76,0.4502,0.25312,0.81214,0.99383,0.99507,0.99344,0.91908,0.42584,0.20877,0.80287,0.000322911,0.000322911,0.000322911
41,1444.8,0.44613,0.25338,0.81147,0.99377,0.99757,0.99378,0.92196,0.41775,0.20136,0.80197,0.000317704,0.000317704,0.000317704
